smiles,Hf_298,S_298,Cp_300,Cp_400,Cp_500,Cp_600,Cp_800,Cp_1000,Cp_1500
CCCOCO[O],-48.9032,99.1122,33.7385,40.1165,46.1054,51.3016,59.6454,65.7586,74.5817
[CH2]C=COC(C)=O,-48.8102,89.0575,29.2375,35.8350,41.8764,47.2484,55.7627,61.3978,68.4524
CC1(C)C[CH]C(=O)OO1,-48.7084,92.1228,37.2959,46.2436,53.6964,60.0781,70.1183,77.2637,87.2152
O=C[CH]O,-48.6379,67.5293,15.3170,18.4778,21.3192,23.8079,27.8503,30.8418,35.0547
[O]OC1C=COCO1,-48.5691,86.4265,27.4708,34.0100,39.7855,44.6282,51.6797,56.5744,63.5869
O=[C]CCCO,-48.5296,93.3681,28.8715,32.9618,37.2006,40.9577,47.1444,51.8535,59.1203
O=C1OOC[C]1COO,-48.3183,99.0572,35.5445,41.5432,46.6605,50.9971,57.6990,62.3294,68.4101
C=C[CH]C(=O)OC,-48.3136,88.6130,30.1424,36.2366,41.7303,46.6616,54.7069,60.5344,68.6040
C[C](C=O)C(C)C=O,-48.2654,101.3781,37.7112,44.3059,50.2390,55.6085,64.3365,70.8060,80.3551
C[CH]OC=O,-47.9621,81.2581,21.7714,26.3526,30.3114,33.6735,38.8824,42.4851,47.1427
COC(C)O[O],-47.9433,88.6356,28.3160,33.6665,38.3271,42.3652,48.8268,53.5256,60.2147
CC1(OO)COOC[C]1COO,-47.7506,112.4434,57.9568,71.4503,80.1555,86.7254,96.7393,103.5400,112.4990
[CH2]C(O)C(C)=O,-47.6694,88.3934,30.6256,35.9907,40.4463,44.2519,50.2186,54.4512,60.3843
[O]OCC1OCOO1,-47.5970,92.5133,30.2785,36.0183,41.0517,45.3533,52.0900,56.8375,63.2407
CC1(O[O])CCC(=O)C1,-47.5644,96.2169,36.8639,45.6218,53.1630,59.6212,69.7834,77.0173,87.0927
C=C(CO[O])C(=O)OO,-47.5477,102.3843,35.8493,42.1706,47.5574,52.0812,58.9558,63.5573,69.1176
C[CH]C(C=O)CO,-47.5215,94.1258,35.7411,44.5994,51.1001,56.2351,64.0142,69.2159,75.6771
[CH2]C1OOC(O)C1=O,-47.4880,92.4909,32.8017,38.5832,43.2033,47.1195,53.1797,57.3854,63.0318
C[C]1OCOOC1(C)C,-47.2626,95.6293,39.2690,48.6449,56.8055,63.8758,75.2090,83.5015,95.5301
O=C1[CH]OOC1=O,-47.2024,76.2024,21.1461,25.7218,29.1343,31.6287,35.2951,37.6743,40.3961
CC1OOCC(O[O])C1(C)C,-47.1657,107.6627,48.3551,59.8036,69.7146,78.2521,91.8139,101.6075,115.5565
[CH2]C(=CO)C(C)=O,-47.1244,85.9554,30.3550,36.5097,41.9120,46.6672,54.4777,60.3907,69.3339
O=C[CH]C1OCOO1,-47.0381,90.6278,29.3372,35.9341,41.7390,46.6338,53.7202,58.2134,64.5271
CCC1(C)CC(O[O])COO1,-46.9511,111.2106,48.1697,59.5427,69.5683,78.2645,91.9356,101.4790,115.5985
O=C1C[CH]CCO1,-46.8683,81.1250,26.4966,33.6640,39.8642,45.1914,53.6150,59.6506,68.0951
CCC([CH]O)OO,-46.7610,100.7330,38.3041,44.5624,49.9170,54.5485,61.9103,67.2276,74.7669
CCO[C]=O,-46.6802,79.4483,20.3969,24.5853,28.4019,31.6982,36.9507,40.7504,46.0891
