smiles,Hf_298,S_298,Cp_300,Cp_400,Cp_500,Cp_600,Cp_800,Cp_1000,Cp_1500
COO,-30.0800,67.3000,14.3400,16.8000,19.0900,21.0700,24.1900,26.5200,30.2500
C=O,-26.5300,52.2100,8.4300,9.3000,10.3300,11.3600,13.1800,14.6000,16.8400
O=COO,-65.0000,68.2300,15.1900,17.4500,19.4400,21.0900,23.5800,25.3300,27.9800
O=CO,-86.5200,59.5000,10.9900,12.8800,14.5700,16.0000,18.1900,19.7700,22.2200
OCOO,-75.1200,70.2600,17.3900,21.0900,24.2000,26.6700,30.2500,32.7500,36.6600
CO,-48.0300,57.2600,10.4600,12.2100,14.1200,15.9000,18.8500,21.1600,24.9600
C1CO1,-12.4900,57.8600,11.1700,14.5400,17.6800,20.3100,24.3200,27.2100,31.6100
C#C,54.9900,47.6300,10.0400,11.5800,12.6900,13.5400,14.8500,15.9000,17.7600
CC=O,-39.7600,62.7000,13.3100,16.0100,18.5900,20.8800,24.5900,27.3900,31.7500
C=CO,-29.6500,61.0800,13.5000,16.6600,19.3800,21.6100,25.0100,27.5200,31.5600
CC(=O)OO,-82.7500,72.3900,19.7300,23.7900,27.4100,30.5000,35.3800,38.9500,44.2000
CC(=O)O,-103.3300,68.1900,15.5700,19.0700,22.1500,24.7300,28.7200,31.6200,36.1500
O=CCOO,-55.6000,74.0300,19.7100,23.8400,27.4400,30.4300,34.9500,38.1700,43.0000
C=C,12.4300,52.3200,10.1800,12.5200,14.7400,16.6700,19.7900,22.1800,26.0500
O=CCO,-75.9100,67.4200,16.2700,19.7300,22.8600,25.5300,29.6700,32.6700,37.2600
C=COO,-8.7600,71.3100,16.8500,20.4400,23.5200,26.0100,29.7200,32.3800,36.5400
CC,-20.3100,54.4600,12.2500,15.3400,18.4300,21.2400,25.9000,29.5200,35.3400
OC1CO1,-57.3000,68.4500,15.5200,19.3300,22.6200,25.3000,29.2500,32.0500,36.3700
CCO,-56.0800,67.3000,15.6700,19.1500,22.4600,25.3400,29.9500,33.4700,39.1700
COC=O,-86.4800,68.0300,15.3500,18.3300,21.3100,23.9700,28.2400,31.3900,36.1900
COC,-44.2500,63.8100,15.6800,18.7900,21.9200,24.7900,29.6000,33.3400,39.2900
C=C=O,-12.0300,57.6500,12.2600,14.0700,15.5300,16.7300,18.6300,20.0800,22.4100
C#CO,22.2900,58.8500,13.1700,14.9700,16.3000,17.3400,18.9200,20.1400,22.2500
O=CC=O,-51.4500,64.8900,14.3100,16.7800,19.1100,21.1100,24.0000,25.8100,28.1000
CCOO,-38.3200,72.5100,19.7800,23.9100,27.6800,30.9000,35.9800,39.7700,45.8000
COCOO,-70.6400,77.9700,22.8100,27.1300,31.1600,34.6500,40.1500,44.2100,50.5400
O=COCOO,-106.1400,81.9400,23.6400,28.0300,31.8800,35.0400,39.7200,42.9900,47.8600
OOCC1CO1,-40.9400,78.7000,23.1600,29.4700,34.9700,39.4600,46.1200,50.7900,57.8000
OOC1COC1,-39.5800,82.6000,23.5600,29.6300,35.0300,39.4500,45.9700,50.5000,57.2500
CC(=O)COO,-69.1300,84.6400,24.5400,30.1400,35.0600,39.1800,45.4600,49.9900,56.9000
C=C(O)COO,-56.6600,81.9600,25.8000,31.6100,36.5100,40.4600,46.3200,50.4900,56.9600
CC=CO,-35.4500,70.2100,20.3800,24.3800,27.8800,30.8500,35.5500,39.1300,44.9300
C#CC,44.5600,58.9200,14.2200,17.0300,19.4600,21.5300,24.8500,27.4200,31.6000
CC1CO1,-22.5500,68.3800,17.1600,21.8400,26.0900,29.6900,35.2800,39.3900,45.7500
C=C=C,45.1700,59.3500,13.9200,16.9700,19.5800,21.7300,25.1100,27.6600,31.7600
C1COC1,-18.9600,65.9200,15.0700,20.2200,25.0300,29.0900,35.3000,39.7600,46.4900
C1=CC1,68.5800,57.9500,12.2900,15.7800,18.7800,21.2200,24.9000,27.5800,31.7500
C=C(C)O,-40.3900,68.8400,19.2600,23.7700,27.6400,30.8600,35.8800,39.6300,45.6400
C=CCO,-29.5200,73.6400,19.7000,23.8200,27.4500,30.5000,35.3200,38.9500,44.8300
CCC=O,-44.5000,72.9300,19.8300,22.9500,26.2800,29.3800,34.5700,38.5700,44.8700
CC(C)=O,-52.0200,73.0700,17.5600,21.6300,25.4600,28.8200,34.2300,38.3000,44.6900
C=CC,4.9000,63.5900,15.3400,19.0600,22.5300,25.5500,30.4300,34.1500,40.1000
C1CC1,13.5400,56.6400,13.2200,17.9700,22.1900,25.6800,30.9700,34.8300,40.9000
COC(C)=O,-99.1000,76.7500,20.4000,24.8400,29.1100,32.8600,38.8600,43.3000,50.1500
O=COC(=O)C=O,-134.4900,83.3500,25.4000,29.6200,32.8200,35.1700,38.3800,40.5300,43.6300
O=CCCO,-82.2000,74.5100,22.1600,27.8400,32.6200,36.3900,41.8600,45.7400,51.7800
O=CC(=O)COO,-80.4900,85.9200,26.5500,31.6400,35.9900,39.5800,44.9400,48.6900,54.2000
C=CCOO,-11.9200,77.2000,22.5400,27.4100,31.8000,35.4800,41.1000,45.1800,51.5000
CCC,-25.1200,66.9100,17.7600,22.4000,26.7100,30.4600,36.5400,41.2300,48.7700
C=C(C)OO,-19.4300,78.8800,22.6200,27.4200,31.6000,35.0800,40.4400,44.3700,50.5600
O=CCC(O)OO,-110.8500,87.9100,28.4700,34.8400,40.3200,44.8100,51.5300,56.2600,63.4100
C#CC=O,31.6600,65.4600,14.9600,17.3200,19.2500,20.8400,23.3000,25.1200,27.9100
CCC(=O)O,-108.1300,78.2200,22.1200,26.3800,30.4400,33.9600,39.5600,43.7200,50.2300
CCCO,-60.9900,75.0000,21.1800,26.4300,31.2500,35.3600,41.8200,46.6600,54.3400
CC(C)O,-65.4100,74.1800,21.6300,26.8000,31.4200,35.3100,41.4300,46.0500,53.5000
O=C=CC=O,-40.5800,70.8600,17.2100,20.2400,22.7700,24.8500,28.0200,30.2600,33.5300
C#CCO,12.3600,68.1100,17.5700,21.0300,23.9400,26.3200,29.9900,32.7200,37.0900
CCCOO,-42.9300,82.0800,25.3600,31.0200,36.0600,40.3400,47.0400,52.0500,59.9900
O=CC(=O)OCOO,-130.1500,95.3900,31.5800,36.6400,40.6800,43.9300,48.8000,52.2600,57.4500
C=CC=O,-15.7300,66.7100,16.7900,20.5800,23.7900,26.4100,30.3600,33.1500,37.2700
CC(C)OO,-47.5900,79.1600,25.6700,31.3900,36.4200,40.6400,47.2500,52.1800,60.0300
O=CC1CO1,-39.5500,70.5400,17.7600,22.1700,26.1200,29.4000,34.3400,37.8100,42.9200
O=C(COO)COO,-84.3600,91.1800,31.9000,38.9300,44.8500,49.6500,56.7500,61.7100,69.1200
CC(=O)C=O,-65.5300,74.5700,19.2500,22.8900,26.2200,29.0900,33.6300,36.9500,41.9700
COC(=O)C=O,-108.3700,81.1200,23.3300,27.0400,30.4500,33.4200,38.1200,41.5500,46.7300
C=C=COO,30.9200,80.1400,22.3700,25.5800,28.3900,30.7200,34.3300,37.0100,41.2900
O=CCC=O,-60.8400,81.0600,17.8700,21.6600,25.1300,28.1100,32.7700,36.1400,41.1500
CC(O)=C=O,-45.0900,74.4900,21.4600,24.7800,27.5900,29.9700,33.7400,36.5700,41.0800
CC(C=O)OO,-65.1800,81.4700,25.7000,31.1600,35.8900,39.8500,45.9300,50.3400,57.1000
C=C(O)C=O,-62.5200,70.7400,19.3000,23.6700,27.3200,30.2900,34.7600,37.9400,42.7900
O=CCCOO,-62.0000,83.9800,24.7000,30.2600,35.1800,39.3000,45.6200,50.1600,57.0500
O=CC(O)COO,-102.4000,86.8200,30.2000,36.1800,41.3300,45.5400,51.8000,56.2000,62.9000
C#CC#C,110.7600,58.9700,16.8000,19.4600,21.2700,22.6300,24.6800,26.2500,28.8200
CC(O)C(C)OO,-93.9600,91.1400,35.7300,44.0900,50.9400,56.3700,64.4600,70.3900,79.9400
CCC(C)(O)OO,-102.2000,90.8600,34.8300,42.7800,49.4700,54.9800,63.4400,69.6900,79.6300
CC(C)(CO)OO,-94.8000,90.0100,35.6600,44.0100,50.8800,56.3500,64.4900,70.4400,79.9800
C#CC=C,69.5000,66.1900,16.9700,20.6800,23.7100,26.1600,29.9200,32.7200,37.1800
CC(C)(O)COO,-94.1600,89.6200,34.2900,42.5100,49.4800,55.1700,63.7800,70.0500,79.9000
CC(CO)COO,-88.5800,87.9300,32.3500,40.6700,48.0100,54.1600,63.6000,70.4600,81.1100
CC(O)CCOO,-91.2400,86.9400,32.2300,40.8300,48.3000,54.4700,63.8700,70.6700,81.2100
CC(CCO)OO,-90.9800,87.5200,32.3500,40.7800,48.1600,54.3000,63.6900,70.5200,81.1200
OCCCCOO,-87.5200,87.3200,31.1400,39.7700,47.4900,53.9500,63.8200,70.9500,81.8800
C#CCC,40.4200,74.7800,19.5100,23.7100,27.2900,30.2900,35.0900,38.7900,44.8100
COC(=O)C(=O)C=O,-130.8400,97.3300,29.3300,33.9800,38.0800,41.6100,47.1300,51.1000,56.9600
C=CC=C,26.8500,66.4300,18.8000,24.2200,28.7000,32.2000,37.2300,40.7900,46.3800
CC(=O)C(=O)COO,-94.8100,92.6700,31.8100,38.2400,43.8400,48.5000,55.5700,60.6000,68.1400
C=C=CC,38.7800,69.6300,18.9100,23.1600,26.9900,30.2700,35.4900,39.4400,45.7100
CC(=O)C(C=O)OO,-93.9400,91.5000,31.6400,38.2200,43.9000,48.5900,55.6800,60.7100,68.2300
CC#CC,35.4200,71.9700,19.5000,23.4200,27.1400,30.4200,35.7900,39.9000,46.4300
CC(OO)C(=O)C=O,-90.2500,91.6000,32.4900,38.8700,44.3500,48.9000,55.8500,60.8000,68.2600
CCCCO,-66.2800,79.6500,25.0800,31.9100,38.2600,43.7300,52.3800,58.8300,68.9600
CCCCOO,-48.3400,88.0900,30.1800,37.4000,43.9600,49.5500,58.3000,64.7800,74.9300
O=CCC(=O)COO,-91.5500,97.2900,32.1800,38.6500,44.0500,48.5000,55.2500,60.1000,67.4200
CCC(C)O,-70.6400,81.6600,26.3200,33.0100,39.0800,44.2500,52.4200,58.5500,68.2900
CCC(C)OO,-52.6700,86.1800,30.3100,37.5900,44.1200,49.6500,58.3100,64.7500,74.8700
CC(C)CO,-68.0400,80.5500,26.2100,32.8400,38.9000,44.0800,52.2900,58.4600,68.2600
CC(C)COO,-50.6300,85.3900,29.9800,37.4600,44.1400,49.7600,58.4800,64.9100,74.9900
CC(C)(C)O,-75.2300,78.1100,27.8400,34.7400,40.6800,45.5900,53.1600,58.8200,67.9300
CC(C)(C)OO,-57.2700,85.1000,31.7200,39.1000,45.4100,50.6300,58.7100,64.7300,74.3300
O=CC=C=CO,-19.1600,77.3500,24.3100,29.1200,32.8000,35.6700,39.9400,43.0100,47.7600
C=C(C)C,-3.7500,69.9600,21.1000,26.1800,30.8100,34.8200,41.3200,46.2800,54.2100
Oc1ccco1,-49.0600,71.5300,20.8200,26.0100,30.3600,33.8300,38.8300,42.2500,47.3600
C=CCC,0.5400,73.0200,20.7000,26.1900,31.1300,35.2900,41.8200,46.7000,54.4500
C=C(C=O)C=O,-41.2400,78.3500,22.3300,26.8600,30.8400,34.2000,39.3700,43.0600,48.5100
C=CC(COO)OO,-38.9700,96.4500,34.2200,42.1900,48.9900,54.5100,62.7400,68.5800,77.5300
CC=CC,-2.3500,70.6200,20.9600,25.7900,30.3900,34.4500,41.0600,46.1200,54.1500
O=CC=CC=O,-41.9700,77.0500,22.1500,26.6000,30.6100,34.0200,39.2700,43.0100,48.5100
OOCC=CCOO,-36.8300,100.4900,37.9700,45.3400,51.2500,56.0100,63.2700,68.5900,77.0000
O=CC=CCOO,-39.9000,90.7000,28.7400,34.5900,39.8200,44.1800,50.8200,55.5400,62.6700
CCC(=O)C(O)OO,-121.8900,95.8300,35.5600,42.6400,48.8400,54.0300,61.9800,67.7400,76.6400
COC(=O)CC=O,-120.7100,93.1800,27.1900,32.4000,37.3100,41.5800,48.3100,53.2200,60.6100
CCC(OO)C(=O)O,-134.2000,94.0100,34.7200,42.4100,48.9000,54.2000,62.1900,67.9200,76.7400
CC(C=C=O)OO,-44.7300,86.9000,29.7500,35.8500,40.9200,45.0400,51.2700,55.7600,62.6800
CCC(O)(C=O)OO,-120.0200,95.8200,35.9100,43.3600,49.6700,54.8400,62.6400,68.2400,76.9100
O=C=CCCOO,-39.1400,91.9500,30.0900,36.1800,41.2300,45.3200,51.4900,55.9300,62.7700
CC(C=O)C(O)OO,-118.6700,91.8500,34.1700,41.9600,48.6500,54.1600,62.4800,68.4300,77.5300
CCCC,-29.8800,74.7000,23.2400,29.2200,34.8100,39.6700,47.5000,53.4700,62.9700
C=C(C=O)COO,-42.0600,81.6000,25.8300,32.2300,37.7500,42.3100,49.2000,54.0900,61.4500
CC(COO)C(=O)O,-133.8500,93.4600,34.4800,42.3400,48.9500,54.3200,62.3300,68.0400,76.8100
CC(=O)CC(O)OO,-125.1400,92.3100,33.7300,41.5400,48.3000,53.8600,62.2600,68.2500,77.4000
C#CC=C=O,48.9800,70.5800,18.6000,21.6800,23.9700,25.7600,28.4500,30.4200,33.4600
CC(=O)C(C)(O)OO,-129.1000,93.7200,35.0600,42.5300,48.8700,54.0900,62.0100,67.7200,76.5900
C#CC1=CO1,117.3500,72.8700,19.6300,22.6700,24.9000,26.6000,29.1100,30.9200,33.7200
CC(O)C(=O)COO,-113.7100,93.0800,34.7000,42.4900,49.1200,54.5600,62.7600,68.6300,77.6100
CC(=O)C(O)COO,-115.7900,95.7700,36.3000,44.0400,50.1400,54.9900,62.2900,67.6300,76.0600
CC(O)C(C=O)OO,-110.5300,91.8100,34.1300,42.0400,48.7800,54.3000,62.6000,68.5200,77.5600
CC(=O)C(CO)OO,-115.5400,92.2600,33.6800,41.4100,48.1500,53.7200,62.1500,68.1700,77.3600
CC(CC(=O)O)OO,-137.1100,90.1700,33.3900,41.4800,48.3300,53.9200,62.3000,68.2700,77.4000
CC(=O)C=CO,-70.2900,80.7800,24.5300,30.0400,34.9100,39.0000,45.2500,49.7700,56.7000
CC(OO)C(O)C=O,-112.0200,93.8600,34.8300,42.5000,49.1100,54.5400,62.7500,68.6100,77.6000
CC(=O)CC=O,-74.5200,80.4300,23.0600,28.3200,33.0500,37.0900,43.4100,48.0400,55.1100
CC(OO)C(=O)CO,-114.6000,94.2100,35.2700,42.7500,49.2100,54.5700,62.7000,68.5400,77.5300
C=CC=C=O,5.9000,72.2200,19.6000,23.8200,27.3500,30.2500,34.6800,37.8900,42.8200
C=C=CCOO,21.7100,86.0300,27.0700,32.0900,36.4900,40.1600,45.7800,49.8900,56.3000
CC(C)(OO)C(=O)O,-138.8100,89.7100,35.2300,42.9900,49.3900,54.5800,62.3800,68.0000,76.7200
C=C=CC=O,16.8500,72.4600,19.6800,23.8200,27.3400,30.2700,34.7600,38.0200,42.9500
C=CC(=O)OC,-73.5100,79.0400,23.9300,29.2900,34.1800,38.3500,44.8400,49.5400,56.7100
CC(C=O)(CO)OO,-112.7100,91.6100,36.7200,44.4900,50.6000,55.4600,62.8500,68.2900,76.8600
C#CCC=O,22.8000,74.4700,20.1000,24.1600,27.5700,30.3900,34.7600,37.9600,42.8800
C=COC(C)=O,-75.7800,81.7600,24.5600,30.6000,35.6500,39.6700,45.5800,49.7900,56.3000
CC(O)(C=O)COO,-113.0300,91.2800,35.7200,43.9100,50.4700,55.6200,63.2100,68.6400,77.1000
c1ccoc1,-7.6400,63.6200,15.3100,20.7300,25.2900,28.8900,34.0400,37.5400,42.6700
CC(=O)C1CO1,-52.4000,79.7100,22.7000,28.5900,33.8400,38.2400,44.9100,49.6700,56.8300
CC(O)(CC=O)OO,-123.0900,91.0000,34.7600,42.6900,49.3400,54.7500,62.8800,68.6900,77.6200
CC1OCC1=O,-54.3000,77.4900,23.1800,29.1300,34.3300,38.6500,45.2300,49.9500,57.0300
O=CC(CO)COO,-108.7900,91.4600,32.4300,40.6200,47.7500,53.6500,62.5300,68.8200,78.2800
O=C1CCOC1,-68.8800,73.9000,21.1900,27.6400,33.3500,38.0900,45.2400,50.2800,57.7200
O=CCC(CO)OO,-110.2700,91.1200,32.8500,41.0000,48.0800,53.9200,62.6800,68.8800,78.2600
O=CC(CCO)OO,-108.0800,92.1000,33.0200,41.0900,48.1300,53.9500,62.7100,68.9200,78.3000
O=CCC(O)COO,-110.7300,91.7200,33.5100,42.0300,49.2400,55.0000,63.3700,69.1800,77.9400
OCC=CCOO,-54.8800,84.1400,30.6600,37.3700,43.2700,48.2200,55.9700,62.1700,74.8300
O=C(CCO)COO,-111.6400,94.3700,33.4100,41.4100,48.3900,54.1500,62.8100,68.9600,78.2800
CCC(=O)COO,-74.1000,90.9600,31.2200,37.5900,43.4600,48.4800,56.3500,62.1100,70.9900
O=CCCC(O)OO,-118.8300,92.9100,32.9200,41.0300,48.0800,53.9000,62.6700,68.8900,78.2900
O=CC(O)CCOO,-110.6000,92.3400,33.1800,41.2800,48.3100,54.1000,62.8100,68.9900,78.3200
CC(=O)CCOO,-76.2200,87.8600,29.4900,36.6900,43.1000,48.4800,56.7300,62.6900,71.7900
O=C(CO)CCOO,-112.9900,93.4000,33.2200,41.2100,48.2000,53.9900,62.7100,68.9000,78.2800
OOCC1CCO1,-49.5700,81.6500,27.3200,35.8900,43.3000,49.2200,57.7400,63.5900,72.3200
O=C(O)CCCOO,-135.9000,91.3000,32.3000,40.6200,47.7900,53.6800,62.5100,68.7500,78.1800
CC1OCC1OO,-51.1500,87.4200,29.3500,36.8700,43.5000,48.9800,57.2400,63.1100,72.0300
OOCCC1CO1,-48.0900,84.9600,28.0900,36.0100,42.9900,48.7600,57.3900,63.5000,72.7100
OOC1CCOC1,-65.8500,85.8800,27.2900,35.2500,42.3700,48.2700,57.1000,63.3200,72.6300
C=C(COO)COO,-40.7700,92.4200,33.3900,41.6800,48.7400,54.4900,63.0600,69.1400,78.3700
CC(OO)C1CO1,-51.0500,84.9600,29.2000,36.8900,43.5400,48.9900,57.1900,63.0400,71.9400
CC1OC1COO,-51.5400,85.6800,29.1600,36.7000,43.2900,48.7600,57.0200,62.9300,71.9200
CCC(C=O)OO,-70.3100,90.5900,31.2300,38.1400,44.1900,49.2500,57.0200,62.6600,71.3300
CC(CC=O)OO,-72.1300,88.2800,32.0100,39.5200,45.5400,50.3400,57.6100,62.9700,71.3800
C=C=CCO,3.5900,78.0700,24.5900,28.7400,32.3600,35.4600,40.4500,44.2600,50.4100
O=CCCCOO,-71.6600,86.3200,29.1400,36.6400,43.3000,48.8800,57.4100,63.5300,72.7800
C=CC=CO,-14.5500,72.7500,22.5300,27.8800,32.3700,36.0000,41.4300,45.3500,51.5000
CC(C=O)COO,-69.5000,90.7300,31.5900,38.2100,44.1000,49.0800,56.8100,62.4700,71.1900
C=CCC=O,-18.1400,80.5100,21.3000,26.0100,30.2700,33.9100,39.6600,43.9200,50.5000
CC(C)(C=O)OO,-74.8900,88.6000,33.7600,40.5600,46.0800,50.5600,57.4600,62.5800,70.6900
C=CC(C)=O,-26.8100,74.3700,21.3600,26.2200,30.6000,34.3400,40.1900,44.5200,51.2200
C=C(C)C(O)OO,-67.2800,91.2300,33.4000,39.7500,45.3000,49.9700,57.2000,62.5400,70.9700
C1=COCC1,-18.0300,68.7000,17.6600,23.7400,29.1400,33.5900,40.2600,44.9700,52.0200
C=CC(CO)OO,-57.9900,91.1300,33.5300,40.9700,46.9100,51.5000,58.1800,63.0000,70.7200
C1=CCOC1,-14.6200,67.9700,17.6400,23.6500,29.0400,33.5100,40.2500,45.0100,52.1000
CC=C(O)COO,-63.8600,90.4700,31.8600,38.7600,44.6600,49.4900,56.7900,62.0700,70.3200
C=C(C)C=O,-25.4900,74.3300,21.2600,26.0400,30.4000,34.1500,40.1000,44.4900,51.2700
C=CC(O)COO,-57.5000,87.0500,31.6700,39.4000,45.7000,50.7300,58.2000,63.5800,72.0000
CC(C)=C=O,-21.4200,75.1600,22.5500,26.6700,30.5100,33.9100,39.4600,43.7000,50.3500
C=C(O)C(C)OO,-66.3800,86.7300,31.9400,39.3800,45.5700,50.5700,58.0700,63.4900,71.9500
C=CC1CO1,2.9200,74.5200,20.5600,26.2700,31.1300,35.0600,40.9100,45.0900,51.5300
CC=CC=O,-24.7500,74.3100,21.2600,25.9400,30.2800,34.0600,40.0600,44.4900,51.2900
CCC=C=O,-21.0400,73.6900,21.7700,26.8200,31.2000,34.8600,40.5800,44.8100,51.4100
CC(=O)CCO,-95.3400,82.2000,25.9700,32.5900,38.5700,43.6300,51.4900,57.2100,66.0400
CCOC(C)=O,-107.3300,81.9900,25.7900,32.1900,38.0000,42.9700,50.7500,56.4700,65.2800
CCC1OC1O,-72.7100,86.0400,26.9000,33.4600,39.1900,43.9300,51.1700,56.4400,64.6600
CCC1(O)CO1,-74.5000,85.0900,27.2200,33.9200,39.6500,44.3500,51.4600,56.6400,64.7400
CC(O)C1CO1,-69.2100,79.3400,26.3100,34.0600,40.5800,45.6800,52.9700,58.0500,65.9300
CC1CC(O)O1,-78.7300,80.7000,25.7300,32.9000,39.1200,44.2000,51.8000,57.2300,65.5900
CC1COC1O,-75.8100,80.9800,25.4500,32.4200,38.6300,43.7700,51.5400,57.0900,65.5600
CC1OC1(C)O,-79.0800,84.2000,27.7000,33.9700,39.4600,44.0500,51.1500,56.3800,64.6000
CC1OC1CO,-69.4500,80.8400,25.8900,32.7100,38.8100,43.9300,51.7700,57.4400,66.1600
CC1OCC1O,-69.6200,81.4300,25.2200,32.0400,38.1500,43.2700,51.0700,56.7000,65.3300
CC1(C)OC1O,-78.0800,83.7300,27.5000,33.6800,39.1500,43.7600,50.9400,56.2300,64.5200
CC1(CO)CO1,-70.3500,79.5900,26.0600,32.8800,38.9400,44.0200,51.8100,57.4600,66.1600
CC1(O)CCO1,-80.7900,79.5400,26.2500,33.3400,39.5300,44.5800,52.1000,57.4600,65.6900
CC1(O)COC1,-69.8500,78.2300,25.3900,32.5300,38.8000,43.9400,51.6600,57.1600,65.5900
OCC1COC1,-62.1900,81.5600,24.3500,31.3600,37.7700,43.1100,51.1500,56.8500,65.4700
OCCC1CO1,-64.8400,78.8000,24.5200,31.8400,38.4000,43.8500,52.1000,57.9800,66.9400
O=CCCCO,-86.9400,81.8400,26.0500,32.7000,38.7400,43.8500,51.7600,57.5000,66.2700
OCC1CCO1,-67.7800,77.8800,24.2000,31.9900,38.8100,44.3200,52.3800,58.0000,66.5100
OC1CCOC1,-83.6400,77.7300,23.9300,31.1400,37.6300,43.0400,51.2500,57.1100,66.0300
OC1CCCO1,-92.9800,76.2300,24.4300,32.2200,38.8000,44.0900,51.9600,57.5900,66.2200
C=CCOOC,-10.7300,85.9400,27.5400,33.6700,39.2600,44.0300,51.5000,57.0100,65.5600
C=CCCO,-36.6800,77.3300,26.1600,31.9600,36.7900,40.8300,47.2200,52.0900,59.9300
CC=CCOO,-19.6000,87.6500,29.8000,35.2100,40.2400,44.6100,51.5300,56.6900,64.8100
CC=CCO,-37.5300,80.7000,26.5500,31.1200,35.4800,39.3900,45.8300,50.7900,58.7800
C=CC(C)OO,-21.5000,87.4300,29.9700,35.9400,41.1000,45.4100,52.1000,57.0700,64.9600
CCC=CO,-40.4400,77.0000,25.5300,31.2400,36.1400,40.2200,46.6000,51.4000,59.1200
C=C(C)COO,-20.5300,85.7600,28.4700,34.9100,40.4500,45.0400,52.1400,57.3700,65.6100
CC=C(C)O,-45.0800,78.8100,24.8400,30.3300,35.2200,39.3800,45.9600,50.9200,58.8600
CC(C)(O)C=O,-95.1600,79.8200,28.5000,35.0500,40.6100,45.2100,52.2900,57.5200,65.7100
C=CC(C)O,-39.3600,81.2600,27.0200,32.3600,36.9300,40.7800,46.8800,51.5400,59.1300
CCC(O)C=O,-90.2700,84.3700,27.5500,34.0300,39.7600,44.5500,51.9500,57.3500,65.7000
C=C(O)CC,-44.7300,78.5500,25.8900,32.1500,37.3100,41.4400,47.6500,52.2200,59.5400
CC(=O)C(C)O,-98.1200,82.7700,27.1400,33.5900,39.2800,44.0700,51.4700,56.9200,65.4000
CC(C)=CO,-43.3200,79.6900,24.3900,29.9000,34.8500,39.0700,45.7600,50.8000,58.8200
CCC(=O)CO,-94.2200,85.6100,27.3000,33.2000,38.7100,43.4800,51.0200,56.5900,65.2600
C=C(C)CO,-38.5600,79.1200,25.0800,30.8700,35.9300,40.1800,46.8500,51.8500,59.8200
C=CCCOO,-17.5600,86.3400,30.6300,36.6500,41.7400,45.9900,52.6400,57.6600,65.6900
C1CCOC1,-43.6700,71.7500,19.1900,26.1400,32.5700,38.0000,46.3200,52.3100,61.3200
CCC1CO1,-27.5300,78.1200,22.4400,28.7200,34.3300,39.0400,46.3200,51.6600,59.9400
CC1CCO1,-30.1300,72.8200,21.0000,27.7000,33.7300,38.7800,46.5300,52.1400,60.7200
CC1OC1C,-31.4200,75.6800,22.2600,28.0000,33.4400,38.1500,45.5900,51.1000,59.6400
CC1(C)CO1,-33.1000,74.1200,23.4000,29.4400,34.8000,39.3400,46.4300,51.7000,59.9300
CC(C)C=O,-51.0400,80.0300,24.5200,29.7500,34.5900,38.8300,45.6800,50.8800,59.0600
CC1COC1,-26.5700,71.8400,20.9100,27.4700,33.4500,38.5200,46.3400,52.0100,60.6800
CCCC=O,-49.4300,78.4500,24.5500,29.6900,34.6100,38.9900,46.0900,51.4700,59.8700
CCC(C)=O,-56.8900,82.4000,24.4500,29.2100,33.9400,38.1800,45.1400,50.4400,58.7900
CCCC(O)OO,-96.1100,97.9800,34.9400,42.4700,49.0100,54.4700,62.8800,69.0900,78.9300
CCC(CO)OO,-89.2800,94.2900,34.9500,43.1100,50.0000,55.5700,63.9800,70.1300,79.8900
CCC(O)COO,-89.5100,97.0500,35.6400,43.5000,50.2900,55.7900,64.0000,69.9400,79.3600
CC(C)C(O)OO,-98.2400,89.6100,33.8700,41.9500,48.9700,54.7900,63.7000,70.2200,80.4500
O=CCCC=O,-70.3100,80.6800,23.8800,29.5400,34.6500,39.0100,45.7600,50.6400,57.9300
CC1COC1C,-36.8500,81.0800,26.6000,34.5800,41.7800,47.8600,57.2900,64.1900,74.7800
CCC(CC)OO,-57.4800,94.1500,36.2500,45.0600,52.8600,59.4300,69.6400,77.2200,89.1500
CC1CCOC1,-50.9900,78.0100,25.1400,33.4700,41.0700,47.4900,57.4000,64.5900,75.5200
CCC(C)COO,-54.9200,95.8000,36.5300,45.1000,52.7600,59.2800,69.5300,77.1600,89.1600
CC1OC1(C)C,-42.1100,83.9600,28.6100,35.6500,42.1600,47.7800,56.7200,63.3900,73.8100
CCC(C)(C)OO,-62.2700,94.5600,35.9200,44.8600,52.7100,59.3000,69.5300,77.1300,89.0800
CC1(C)CCO1,-41.0900,82.3300,27.2700,35.4800,42.7100,48.7100,57.9300,64.6400,75.0000
CC(C)C(C)OO,-59.0800,94.1400,35.4900,44.3400,52.2200,58.8600,69.2300,76.9100,88.9600
CC(C)C1CO1,-34.6700,84.6800,28.6500,36.4100,43.2900,49.0100,57.8100,64.2600,74.3000
CC(C)CCOO,-55.4700,90.6500,35.1100,44.2700,52.4400,59.3100,69.9500,77.7700,89.9700
C#CCC=C,66.3900,76.2100,22.9700,27.7300,31.8700,35.3300,40.7600,44.8300,51.2800
CC1(C)COC1,-35.6000,76.4400,27.2200,35.3000,42.4500,48.4500,57.7200,64.5100,74.9600
CC(C)(C)COO,-58.2800,93.1500,35.9500,45.0700,53.0700,59.6800,69.7200,77.0000,88.2800
C1=CCC=C1,33.1000,66.7800,17.8700,24.3300,29.8100,34.2300,40.7300,45.2900,52.1500
CCCC(C)=O,-62.0300,87.1300,29.2400,36.1900,42.5900,48.1200,56.9300,63.5500,73.9100
